GALEXASCJ00002;     survey; Equatorial; J2000; 00:00:21.2; +31:01:17.9; Heliocentric; Optical; 566.0;  N;
GALEXASCJ08574;     survey; Equatorial; J2000; 08:57:40.3; +59:02:59.7; Heliocentric; Optical; 1083.0; N;
WISEAJ085744.6;     survey; Equatorial; J2000; 08:57:44.7; +59:02:15.3; Heliocentric; Optical; 1067.0; N;
UGC04704;           survey; Equatorial; J2000; 08:59:00.3; +39:12:35.7; Heliocentric; Optical; 596.0;  N;
WISEAJ085953.3;     survey; Equatorial; J2000; 08:59:53.4; +21:55:01.9; Heliocentric; Optical; 562.7;  N;
WISEAJ090018.3;     survey; Equatorial; J2000; 09:00:18.4; +32:22:35.5; Heliocentric; Optical; 730.0;  N;
MCG+09-15-079;      survey; Equatorial; J2000; 09:01:32.2; +50:36:56.5; Heliocentric; Optical; 712.0;  N;
UGC04701;           survey; Equatorial; J2000; 09:02:01.1; +78:16:39.8; Heliocentric; Optical; 1384.1; N;
LSBCD564-08;        survey; Equatorial; J2000; 09:02:53.7; +20:04:31.3; Heliocentric; Optical; 483.3;  N;
ESO497-G004;        survey; Equatorial; J2000; 09:03:03.1; -23:48:25.8; Heliocentric; Optical; 807.0;  N;
UGC04714;           survey; Equatorial; J2000; 09:03:14.9; +78:33:47.2; Heliocentric; Optical; 1242.9; N;
NGC2742;            survey; Equatorial; J2000; 09:07:33.6; +60:28:45.6; Heliocentric; Optical; 1292.1; N;
UGC04787;           survey; Equatorial; J2000; 09:07:34.9; +33:16:38.2; Heliocentric; Optical; 538.4;  N;
NGC2715;            survey; Equatorial; J2000; 09:08:06.3; +78:05:07.5; Heliocentric; Optical; 1323.0; N;
UGC04797;           survey; Equatorial; J2000; 09:08:10.8; +05:55:40.0; Heliocentric; Optical; 1308.0; N;
UGC04788;           survey; Equatorial; J2000; 09:08:23.1; +59:04:28.8; Heliocentric; Optical; 1295.1; N;
WISEAJ090831.5;     survey; Equatorial; J2000; 09:08:31.5; +15:47:56.9; Heliocentric; Optical; 986.6;  N;
WISEAJ090920.1;     survey; Equatorial; J2000; 09:09:20.1; +01:36:51.4; Heliocentric; Optical; 1321.9; N;
WISEAJ090948.1;     survey; Equatorial; J2000; 09:09:48.2; -09:20:03.2; Heliocentric; Optical; 1244.1; N;
UGC04808;           survey; Equatorial; J2000; 09:10:14.7; +59:57:15.0; Heliocentric; Optical; 1322.2; N;
NGC2775;            survey; Equatorial; J2000; 09:10:20.1; +07:02:17.1; Heliocentric; Optical; 1349.0; N;
WISEAJ091040.2;     survey; Equatorial; J2000; 09:10:40.3; +60:23:37.2; Heliocentric; Optical; 1052.2; N;
GALEXMSCJ09113;     survey; Equatorial; J2000; 09:11:36.4; +31:38:10.5; Heliocentric; Optical; 767.8;  N;
WISEAJ091159.3;     survey; Equatorial; J2000; 09:11:59.4; +31:35:35.1; Heliocentric; Optical; 756.8;  N;
NGC2784;            survey; Equatorial; J2000; 09:12:19.4; -24:10:21.4; Heliocentric; Optical; 691.0;  N;
WISEAJ091248.3;     survey; Equatorial; J2000; 09:12:48.3; +48:54:16.6; Heliocentric; Optical; 662.4;  N;
SDSSJ091250.88;     survey; Equatorial; J2000; 09:12:50.9; +06:28:33.2; Heliocentric; Optical; 1308.8; N;
CGCG288-027A;       survey; Equatorial; J2000; 09:13:00.2; +60:15:04.6; Heliocentric; Optical; 1024.6; N;
CGCG288-027B;       survey; Equatorial; J2000; 09:13:04.3; +60:14:41.6; Heliocentric; Optical; 1133.0; N;
HolmbergIII;        survey; Equatorial; J2000; 09:14:47.9; +74:13:56.9; Heliocentric; Optical; 1126.9; N;
WISEAJ091457.3;     survey; Equatorial; J2000; 09:14:57.3; +06:00:19.2; Heliocentric; Optical; 1370.0; N;
WISEAJ091532.0;     survey; Equatorial; J2000; 09:15:32.0; +59:49:48.3; Heliocentric; Optical; 1367.7; N;
UGC04879;           survey; Equatorial; J2000; 09:16:02.3; +52:50:25.9; Heliocentric; Optical; -69.9;  N;
ESO497-G035;        survey; Equatorial; J2000; 09:16:58.1; -23:16:49.7; Heliocentric; Optical; 828.7;  N;
NGC2835;            survey; Equatorial; J2000; 09:17:52.8; -22:21:16.1; Heliocentric; Optical; 887.1;  N;
MCG+08-17-077;      survey; Equatorial; J2000; 09:18:52.2; +50:11:16.3; Heliocentric; Optical; 629.9;  N;
WISEAJ091858.6;     survey; Equatorial; J2000; 09:18:58.7; +58:14:07.3; Heliocentric; Optical; 1167.0; N;
LSBCD565-06;        survey; Equatorial; J2000; 09:19:30.4; +21:36:12.4; Heliocentric; Optical; 497.7;  N;
WISEAJ092036.1;     survey; Equatorial; J2000; 09:20:36.2; +49:40:32.7; Heliocentric; Optical; 477.0;  N;
VIIZw274;           survey; Equatorial; J2000; 09:21:06.3; +70:41:54.1; Heliocentric; Optical; 839.1;  N;
WISEAJ092115.0;     survey; Equatorial; J2000; 09:21:15.0; +09:43:52.0; Heliocentric; Optical; 1384.0; N;
WISEAJ092122.1;     survey; Equatorial; J2000; 09:21:22.1; +37:10:30.1; Heliocentric; Optical; 299.8;  N;
SDSSJ092240.61;     survey; Equatorial; J2000; 09:22:40.6; +48:34:34.7; Heliocentric; Optical; 747.1;  N;
ESO565-G003;        survey; Equatorial; J2000; 09:23:09.9; -20:10:03.0; Heliocentric; Optical; 828.9;  N;
WISEAJ092403.5;     survey; Equatorial; J2000; 09:24:03.6; +32:50:03.4; Heliocentric; Optical; 513.9;  N;
UGC04998;           survey; Equatorial; J2000; 09:25:11.1; +68:22:58.4; Heliocentric; Optical; 623.0;  N;
SBS0924+606A;       survey; Equatorial; J2000; 09:27:53.8; +60:24:20.7; Heliocentric; Optical; 1317.0; N;
WISEAJ092757.9;     survey; Equatorial; J2000; 09:27:58.0; +60:23:41.3; Heliocentric; Optical; 1317.6; N;
WISEAJ092811.2;     survey; Equatorial; J2000; 09:28:11.2; +07:32:37.9; Heliocentric; Optical; 1374.0; N;
UGC05047;           survey; Equatorial; J2000; 09:28:49.7; +51:33:38.0; Heliocentric; Optical; 502.0;  N;
LSBCD565-10;        survey; Equatorial; J2000; 09:30:12.8; +19:59:26.4; Heliocentric; Optical; 561.5;  N;
NGC2903;            survey; Equatorial; J2000; 09:32:10.1; +21:30:03.0; Heliocentric; Optical; 549.8;  N;
UGC05076;           survey; Equatorial; J2000; 09:32:36.4; +51:52:19.0; Heliocentric; Optical; 572.9;  N;
UGC05086;           survey; Equatorial; J2000; 09:32:48.9; +21:27:55.8; Heliocentric; Optical; 491.1;  N;
MCG+09-16-029;      survey; Equatorial; J2000; 09:33:45.3; +51:55:09.8; Heliocentric; Optical; 602.8;  N;
UGCA166;            survey; Equatorial; J2000; 09:34:02.0; +55:14:27.9; Heliocentric; Optical; 751.0;  N;
WISEAJ093441.7;     survey; Equatorial; J2000; 09:34:41.8; +32:32:03.5; Heliocentric; Optical; 1390.9; N;
CGCG035-007;        survey; Equatorial; J2000; 09:34:44.7; +06:25:32.3; Heliocentric; Optical; 545.6;  N;
WISEAJ093521.5;     survey; Equatorial; J2000; 09:35:21.5; -13:48:52.0; Heliocentric; Optical; 810.9;  N;
WISEAJ093935.2;     survey; Equatorial; J2000; 09:39:35.2; -25:07:34.4; Heliocentric; Optical; 730.9;  N;
MCG+10-14-029;      survey; Equatorial; J2000; 09:40:01.9; +58:32:07.4; Heliocentric; Optical; 1073.0; N;
WISEAJ094003.3;     survey; Equatorial; J2000; 09:40:03.3; +44:59:31.5; Heliocentric; Optical; 1369.6; N;
KUG0937+480;        survey; Equatorial; J2000; 09:40:19.5; +47:46:38.8; Heliocentric; Optical; 546.3;  N;
UGC05151;           survey; Equatorial; J2000; 09:40:27.0; +48:20:15.6; Heliocentric; Optical; 770.5;  N;
HolmbergI;          survey; Equatorial; J2000; 09:40:35.1; +71:10:46.4; Heliocentric; Optical; 139.1;  N;
IC0549;             survey; Equatorial; J2000; 09:40:43.2; +03:57:35.4; Heliocentric; Optical; 1297.0; N;
KUG0937+327;        survey; Equatorial; J2000; 09:40:45.8; +32:28:20.6; Heliocentric; Optical; 1293.0; N;
NGC2950;            survey; Equatorial; J2000; 09:42:35.1; +58:51:04.6; Heliocentric; Optical; 1322.1; N;
UGC05179;           survey; Equatorial; J2000; 09:43:01.7; +58:58:25.0; Heliocentric; Optical; 1348.0; N;
KUG0939+587;        survey; Equatorial; J2000; 09:43:23.0; +58:31:28.6; Heliocentric; Optical; 1344.3; N;
LeoncinoDwarf;      survey; Equatorial; J2000; 09:43:32.4; +33:26:57.9; Heliocentric; Optical; 514.0;  N;
WISEAJ094420.0;     survey; Equatorial; J2000; 09:44:20.1; -22:54:58.5; Heliocentric; Optical; 718.9;  N;
GALEXMSCJ09443;     survey; Equatorial; J2000; 09:44:35.1; +71:28:57.7; Heliocentric; Optical; -38.0;  N;
IC0559;             survey; Equatorial; J2000; 09:44:43.9; +09:36:54.0; Heliocentric; Optical; 538.1;  N;
SDSSJ094515.30;     survey; Equatorial; J2000; 09:45:15.3; +69:23:25.9; Heliocentric; Optical; 571.1;  N;
GALEXMSCJ09461;     survey; Equatorial; J2000; 09:46:13.0; +68:42:55.0; Heliocentric; Optical; 1186.9; N;
MRK1424;            survey; Equatorial; J2000; 09:46:28.0; +57:07:04.7; Heliocentric; Optical; 1182.4; N;
SDSSJ094700.22;     survey; Equatorial; J2000; 09:47:00.2; +30:39:41.5; Heliocentric; Optical; 1396.0; N;
SDSSJ094718.35;     survey; Equatorial; J2000; 09:47:18.4; +41:38:16.5; Heliocentric; Optical; 1396.3; N;
SDSSJ094805.89;     survey; Equatorial; J2000; 09:48:05.9; +07:07:43.7; Heliocentric; Optical; 523.2;  N;
WISEAJ094847.4;     survey; Equatorial; J2000; 09:48:47.4; +27:52:25.6; Heliocentric; Optical; 1316.4; N;
UGC05272;           survey; Equatorial; J2000; 09:50:22.4; +31:29:16.0; Heliocentric; Optical; 512.9;  N;
NGC3024;            survey; Equatorial; J2000; 09:50:27.4; +12:45:56.3; Heliocentric; Optical; 1344.0; N;
NGC3037;            survey; Equatorial; J2000; 09:51:24.2; -27:00:39.8; Heliocentric; Optical; 887.1;  N;
GALEXASCJ09515;     survey; Equatorial; J2000; 09:51:50.7; +72:04:59.4; Heliocentric; Optical; 1180.9; N;
WISEAJ095243.8;     survey; Equatorial; J2000; 09:52:43.8; +29:20:52.7; Heliocentric; Optical; 1281.0; N;
LSBCD709-09;        survey; Equatorial; J2000; 09:52:58.8; +08:01:44.4; Heliocentric; Optical; 923.5;  N;
WISEAJ095316.5;     survey; Equatorial; J2000; 09:53:16.5; +00:34:55.3; Heliocentric; Optical; 932.0;  N;
WISEAJ095326.2;     survey; Equatorial; J2000; 09:53:26.3; +69:31:17.6; Heliocentric; Optical; 92.9;   N;
UGC05306;           survey; Equatorial; J2000; 09:54:09.2; +58:20:27.5; Heliocentric; Optical; 1176.0; N;
NGC3056;            survey; Equatorial; J2000; 09:54:32.9; -28:17:53.6; Heliocentric; Optical; 973.1;  N;
WISEAJ095510.5;     survey; Equatorial; J2000; 09:55:10.5; -06:16:10.8; Heliocentric; Optical; 790.9;  N;
NGC3027;            survey; Equatorial; J2000; 09:55:40.3; +72:12:13.4; Heliocentric; Optical; 1060.1; N;
UGC05332;           survey; Equatorial; J2000; 09:55:48.3; +16:24:49.7; Heliocentric; Optical; 805.2;  N;
WISEAJ095633.2;     survey; Equatorial; J2000; 09:56:33.3; +27:16:52.6; Heliocentric; Optical; 1074.0; N;
WISEAJ095637.5;     survey; Equatorial; J2000; 09:56:37.6; -09:29:10.0; Heliocentric; Optical; 602.0;  N;
UGC05340;           survey; Equatorial; J2000; 09:56:45.7; +28:49:35.0; Heliocentric; Optical; 503.1;  N;
WISEAJ095708.8;     survey; Equatorial; J2000; 09:57:08.9; -09:15:48.7; Heliocentric; Optical; 542.0;  N;
WISEAJ095729.3;     survey; Equatorial; J2000; 09:57:29.4; +27:45:24.3; Heliocentric; Optical; 1180.0; N;
HolmbergIX;         survey; Equatorial; J2000; 09:57:32.0; +69:02:45.5; Heliocentric; Optical; 50.0;   N;
UGC05348;           survey; Equatorial; J2000; 09:58:00.9; +47:19:28.4; Heliocentric; Optical; 489.5;  N;
UGC05349;           survey; Equatorial; J2000; 09:58:06.2; +37:17:33.4; Heliocentric; Optical; 1376.2; N;
GALEXMSCJ09582;     survey; Equatorial; J2000; 09:58:21.3; +03:11:21.9; Heliocentric; Optical; 70.0;   N;
SDSSJ095824.50;     survey; Equatorial; J2000; 09:58:24.5; -00:37:33.1; Heliocentric; Optical; 892.6;  N;
GALEXASCJ09583;     survey; Equatorial; J2000; 09:58:36.8; -03:56:10.6; Heliocentric; Optical; 1379.0; N;
ESO435-G016;        survey; Equatorial; J2000; 09:58:46.2; -28:37:18.6; Heliocentric; Optical; 980.0;  N;
KUG0945+670;        survey; Equatorial; J2000; 09:58:48.8; +66:50:55.1; Heliocentric; Optical; 89.6;   N;
UGC05354;           survey; Equatorial; J2000; 09:58:53.4; +47:44:12.7; Heliocentric; Optical; 1171.9; N;
GALEXASCJ09591;     survey; Equatorial; J2000; 09:59:10.3; +36:02:22.0; Heliocentric; Optical; 550.0;  N;
KUG0955+694;        survey; Equatorial; J2000; 09:59:10.7; +69:15:28.9; Heliocentric; Optical; 1217.7; N;
WISEAJ095918.7;     survey; Equatorial; J2000; 09:59:18.7; +47:36:58.8; Heliocentric; Optical; 1099.6; N;
ESO435-IG020;       survey; Equatorial; J2000; 09:59:21.2; -28:08:01.4; Heliocentric; Optical; 971.0;  N;
WISEAJ095940.9;     survey; Equatorial; J2000; 09:59:40.9; +55:53:17.5; Heliocentric; Optical; 1246.0; N;
GALEXMSCJ09594;     survey; Equatorial; J2000; 09:59:46.9; +55:53:10.0; Heliocentric; Optical; 1100.0; N;
SextansB;           survey; Equatorial; J2000; 10:00:00.1; +05:19:56.0; Heliocentric; Optical; 301.0;  N;
WISEAJ100013.7;     survey; Equatorial; J2000; 10:00:13.8; -03:08:30.0; Heliocentric; Optical; 779.0;  N;
WISEAJ100025.4;     survey; Equatorial; J2000; 10:00:25.5; +50:22:45.1; Heliocentric; Optical; 538.1;  N;
WISEAJ100035.2;     survey; Equatorial; J2000; 10:00:35.1; +37:42:46.9; Heliocentric; Optical; 198.9;  N;
SDSSJ100036.50;     survey; Equatorial; J2000; 10:00:36.5; +30:32:09.8; Heliocentric; Optical; 486.1;  N;
NGC3073;            survey; Equatorial; J2000; 10:00:52.1; +55:37:07.6; Heliocentric; Optical; 1128.0; N;
WISEAJ100109.4;     survey; Equatorial; J2000; 10:01:09.5; +08:46:54.9; Heliocentric; Optical; 1265.0; N;
FGC0991;            survey; Equatorial; J2000; 10:01:10.3; +00:54:31.0; Heliocentric; Optical; 1250.8; N;
CGCG265-055;        survey; Equatorial; J2000; 10:01:14.4; +55:43:05.8; Heliocentric; Optical; 1297.6; N;
WISEAJ100120.0;     survey; Equatorial; J2000; 10:01:19.9; +55:54:32.2; Heliocentric; Optical; 1164.0; N;
MCG-01-26-009;      survey; Equatorial; J2000; 10:01:33.7; -06:31:34.3; Heliocentric; Optical; 747.9;  N;
MCG-01-26-011;      survey; Equatorial; J2000; 10:01:38.8; -08:14:56.3; Heliocentric; Optical; 446.4;  N;
SDSSJ100150.85;     survey; Equatorial; J2000; 10:01:50.9; +55:47:34.7; Heliocentric; Optical; 1171.0; N;
NGC3098;            survey; Equatorial; J2000; 10:02:16.7; +24:42:40.2; Heliocentric; Optical; 1397.0; N;
KUG0959+299;        survey; Equatorial; J2000; 10:02:23.2; +29:43:33.3; Heliocentric; Optical; 822.1;  N;
ESO499-G035;        survey; Equatorial; J2000; 10:02:34.1; -26:54:05.7; Heliocentric; Optical; 372.0;  N;
UGCA193;            survey; Equatorial; J2000; 10:02:36.1; -06:00:49.3; Heliocentric; Optical; 661.9;  N;
WISEAJ100257.1;     survey; Equatorial; J2000; 10:02:57.1; +02:51:53.8; Heliocentric; Optical; 1349.1; N;
WISEAJ100302.0;     survey; Equatorial; J2000; 10:03:02.0; +38:22:37.7; Heliocentric; Optical; 1339.7; N;
NGC3109;            survey; Equatorial; J2000; 10:03:06.9; -26:09:34.5; Heliocentric; Optical; 402.9;  N;
WISEAJ100311.1;     survey; Equatorial; J2000; 10:03:11.2; +55:35:58.0; Heliocentric; Optical; 1050.0; N;
WISEAJ100320.3;     survey; Equatorial; J2000; 10:03:20.3; +00:01:49.8; Heliocentric; Optical; 329.8;  N;
WISEAJ100331.6;     survey; Equatorial; J2000; 10:03:31.7; +55:31:21.0; Heliocentric; Optical; 1347.8; N;
UGCA196;            survey; Equatorial; J2000; 10:03:41.7; -27:01:40.0; Heliocentric; Optical; 955.1;  N;
NGC3104;            survey; Equatorial; J2000; 10:03:57.4; +40:45:25.1; Heliocentric; Optical; 592.0;  N;
AM1001-270;         survey; Equatorial; J2000; 10:04:04.0; -27:19:55.2; Heliocentric; Optical; 362.1;  N;
MRK0714;            survey; Equatorial; J2000; 10:04:08.7; +06:30:37.6; Heliocentric; Optical; 1252.8; N;
WISEAJ100425.1;     survey; Equatorial; J2000; 10:04:25.1; +02:33:31.4; Heliocentric; Optical; 1129.4; N;
NGC3113;            survey; Equatorial; J2000; 10:04:26.2; -28:26:39.1; Heliocentric; Optical; 1082.9; N;
SDSSJ100427.03;     survey; Equatorial; J2000; 10:04:27.0; +01:53:41.3; Heliocentric; Optical; 1287.7; N;
UGC05427;           survey; Equatorial; J2000; 10:04:41.0; +29:21:51.5; Heliocentric; Optical; 476.6;  N;
WISEAJ100443.9;     survey; Equatorial; J2000; 10:04:43.9; +55:19:42.6; Heliocentric; Optical; 1148.0; N;
UGC05428;           survey; Equatorial; J2000; 10:05:06.4; +66:33:30.8; Heliocentric; Optical; -129.2; N;
SDSSJ100512.15;     survey; Equatorial; J2000; 10:05:12.2; +37:22:01.5; Heliocentric; Optical; 479.7;  N;
NGC3115;            survey; Equatorial; J2000; 10:05:14.0; -07:43:06.9; Heliocentric; Optical; 685.6;  N;
GALEXASCJ10051;     survey; Equatorial; J2000; 10:05:17.5; +01:38:25.8; Heliocentric; Optical; 1253.5; N;
UGC05423;           survey; Equatorial; J2000; 10:05:30.1; +70:21:50.9; Heliocentric; Optical; 347.5;  N;
ESO435-G039;        survey; Equatorial; J2000; 10:05:39.6; -28:26:43.7; Heliocentric; Optical; 1042.1; N;
NGC3115B;           survey; Equatorial; J2000; 10:05:41.6; -07:58:53.3; Heliocentric; Optical; 680.6;  N;
WISEAJ100601.6;     survey; Equatorial; J2000; 10:06:01.6; -03:01:40.3; Heliocentric; Optical; 779.0;  N;
UGC05446;           survey; Equatorial; J2000; 10:06:30.9; +32:56:49.0; Heliocentric; Optical; 1356.0; N;
NGC3125;            survey; Equatorial; J2000; 10:06:33.4; -29:56:05.5; Heliocentric; Optical; 1112.8; N;
UGC05442;           survey; Equatorial; J2000; 10:07:01.9; +67:49:39.8; Heliocentric; Optical; -15.0;  N;
NGC3118;            survey; Equatorial; J2000; 10:07:11.6; +33:01:38.9; Heliocentric; Optical; 1341.9; N;
UGC05451;           survey; Equatorial; J2000; 10:07:18.9; +47:00:23.0; Heliocentric; Optical; 631.5;  N;
UGC05456;           survey; Equatorial; J2000; 10:07:19.6; +10:21:42.5; Heliocentric; Optical; 544.1;  N;
UGC05464;           survey; Equatorial; J2000; 10:08:07.7; +29:32:34.4; Heliocentric; Optical; 1020.5; N;
UGC05460;           survey; Equatorial; J2000; 10:08:09.2; +51:50:41.6; Heliocentric; Optical; 1093.0; N;
UGC05459;           survey; Equatorial; J2000; 10:08:09.9; +53:05:00.7; Heliocentric; Optical; 1108.9; N;
WISEAJ100836.4;     survey; Equatorial; J2000; 10:08:36.4; -04:37:35.3; Heliocentric; Optical; 720.0;  N;
UGC05455;           survey; Equatorial; J2000; 10:08:50.6; +70:38:00.0; Heliocentric; Optical; 1290.9; N;
NGC3137;            survey; Equatorial; J2000; 10:09:07.4; -29:03:50.5; Heliocentric; Optical; 1104.1; N;
WISEAJ100919.7;     survey; Equatorial; J2000; 10:09:19.8; +27:56:44.3; Heliocentric; Optical; 583.0;  N;
UGC05478;           survey; Equatorial; J2000; 10:09:31.7; +30:09:01.1; Heliocentric; Optical; 1376.9; N;
WISEAJ100935.8;     survey; Equatorial; J2000; 10:09:35.9; +56:18:56.9; Heliocentric; Optical; 1122.1; N;
UGC05479;           survey; Equatorial; J2000; 10:10:09.6; +54:30:07.0; Heliocentric; Optical; 1105.0; N;
WISEAJ101014.9;     survey; Equatorial; J2000; 10:10:15.0; +46:17:44.4; Heliocentric; Optical; 1099.3; N;
SDSSJ101020.51;     survey; Equatorial; J2000; 10:10:20.5; +07:45:13.6; Heliocentric; Optical; 1280.1; N;
WAS05;              survey; Equatorial; J2000; 10:10:32.8; +22:00:38.9; Heliocentric; Optical; 1266.9; N;
SextansA;           survey; Equatorial; J2000; 10:11:00.8; -04:41:34.2; Heliocentric; Optical; 324.1;  N;
2MASXJ10110817;     survey; Equatorial; J2000; 10:11:08.2; +23:52:30.7; Heliocentric; Optical; 1316.7; N;
WISEAJ101116.2;     survey; Equatorial; J2000; 10:11:16.2; +24:03:56.3; Heliocentric; Optical; 1332.5; N;
WISEAJ101151.8;     survey; Equatorial; J2000; 10:11:51.9; +28:01:18.2; Heliocentric; Optical; 1315.0; N;
WISEAJ101233.0;     survey; Equatorial; J2000; 10:12:33.0; +03:42:27.7; Heliocentric; Optical; 1121.2; N;
CGCG123-024;        survey; Equatorial; J2000; 10:12:52.8; +22:43:19.4; Heliocentric; Optical; 1281.0; N;
WISEAJ101259.9;     survey; Equatorial; J2000; 10:12:59.9; +39:46:17.3; Heliocentric; Optical; 1316.3; N;
NGC3165;            survey; Equatorial; J2000; 10:13:31.3; +03:22:30.0; Heliocentric; Optical; 1310.0; N;
NGC3166;            survey; Equatorial; J2000; 10:13:45.7; +03:25:29.3; Heliocentric; Optical; 1183.0; N;
UGC05522;           survey; Equatorial; J2000; 10:13:58.9; +07:01:26.7; Heliocentric; Optical; 1219.9; N;
GALEXASCJ10135;     survey; Equatorial; J2000; 10:13:59.9; +03:32:03.3; Heliocentric; Optical; 1307.1; N;
GALEXASCJ10140;     survey; Equatorial; J2000; 10:14:08.0; +03:20:41.6; Heliocentric; Optical; 1346.1; N;
WISEAJ101431.8;     survey; Equatorial; J2000; 10:14:32.0; +03:21:59.3; Heliocentric; Optical; 1246.6; N;
NGC3175;            survey; Equatorial; J2000; 10:14:42.2; -28:52:19.0; Heliocentric; Optical; 1087.0; N;
ESO436-G004;        survey; Equatorial; J2000; 10:14:48.7; -28:57:24.3; Heliocentric; Optical; 1095.1; N;
WISEAJ101451.5;     survey; Equatorial; J2000; 10:14:51.5; +03:38:52.6; Heliocentric; Optical; 989.0;  N;
WISEAJ101504.4;     survey; Equatorial; J2000; 10:15:04.5; +26:34:00.2; Heliocentric; Optical; 1374.3; N;
GALEXASCJ10150;     survey; Equatorial; J2000; 10:15:09.3; -05:17:13.0; Heliocentric; Optical; 1332.0; N;
WISEAJ101547.9;     survey; Equatorial; J2000; 10:15:47.9; +37:44:59.4; Heliocentric; Optical; 1271.0; N;
UGC05539;           survey; Equatorial; J2000; 10:15:55.3; +02:41:14.2; Heliocentric; Optical; 1278.0; N;
GALEXASCJ10161;     survey; Equatorial; J2000; 10:16:14.6; -03:45:14.8; Heliocentric; Optical; 1169.0; N;
KUG1013+414;        survey; Equatorial; J2000; 10:16:15.7; +41:09:59.1; Heliocentric; Optical; 517.5;  N;
UGC05540;           survey; Equatorial; J2000; 10:16:21.7; +37:46:48.7; Heliocentric; Optical; 1163.0; N;
KUG1013+381;        survey; Equatorial; J2000; 10:16:24.5; +37:54:45.9; Heliocentric; Optical; 1162.8; N;
NGC3177;            survey; Equatorial; J2000; 10:16:34.1; +21:07:22.8; Heliocentric; Optical; 1310.0; N;
WISEAJ101659.0;     survey; Equatorial; J2000; 10:16:59.1; +03:42:34.9; Heliocentric; Optical; 1204.1; N;
WISEAJ101702.3;     survey; Equatorial; J2000; 10:17:02.3; +03:38:45.7; Heliocentric; Optical; 1038.2; N;
WISEAJ101708.5;     survey; Equatorial; J2000; 10:17:08.6; +33:51:06.3; Heliocentric; Optical; 1369.0; N;
IC0600;             survey; Equatorial; J2000; 10:17:10.9; -03:29:53.5; Heliocentric; Optical; 1311.0; N;
KUG1014+433;        survey; Equatorial; J2000; 10:17:33.0; +43:08:41.1; Heliocentric; Optical; 1132.4; N;
CGCG123-035;        survey; Equatorial; J2000; 10:17:39.7; +22:48:35.6; Heliocentric; Optical; 1178.0; N;
NGC3190;            survey; Equatorial; J2000; 10:18:05.6; +21:49:56.0; Heliocentric; Optical; 1310.1; N;
NGC3184;            survey; Equatorial; J2000; 10:18:16.9; +41:25:27.4; Heliocentric; Optical; 581.9;  N;
WISEAJ101821.5;     survey; Equatorial; J2000; 10:18:21.5; -01:57:22.0; Heliocentric; Optical; 749.0;  N;
LSBCF567-01;        survey; Equatorial; J2000; 10:19:01.4; +21:17:01.0; Heliocentric; Optical; 1083.4; N;
WISEAJ101928.5;     survey; Equatorial; J2000; 10:19:28.6; +29:23:01.9; Heliocentric; Optical; 875.6;  N;
ESO567-G048;        survey; Equatorial; J2000; 10:19:41.7; -17:44:59.6; Heliocentric; Optical; 900.9;  N;
UGC05571;           survey; Equatorial; J2000; 10:19:42.5; +52:03:55.1; Heliocentric; Optical; 661.9;  N;
WISEAJ101952.4;     survey; Equatorial; J2000; 10:19:52.4; +69:11:19.8; Heliocentric; Optical; 557.0;  N;
NGC3198;            survey; Equatorial; J2000; 10:19:55.0; +45:32:59.3; Heliocentric; Optical; 660.1;  N;
WISEAJ101959.9;     survey; Equatorial; J2000; 10:19:59.9; +24:47:24.6; Heliocentric; Optical; 1258.3; N;
WISEAJ102026.4;     survey; Equatorial; J2000; 10:20:26.4; +40:52:41.1; Heliocentric; Optical; 1161.9; N;
WISEAJ102045.6;     survey; Equatorial; J2000; 10:20:45.7; -00:41:23.4; Heliocentric; Optical; 209.9;  N;
UGC05588;           survey; Equatorial; J2000; 10:20:57.1; +25:21:53.6; Heliocentric; Optical; 1290.9; N;
NGC3213;            survey; Equatorial; J2000; 10:21:17.3; +19:39:07.2; Heliocentric; Optical; 1347.0; N;
WISEAJ102138.9;     survey; Equatorial; J2000; 10:21:38.9; +00:53:59.8; Heliocentric; Optical; 700.8;  N;
NGC3206;            survey; Equatorial; J2000; 10:21:47.5; +56:55:49.4; Heliocentric; Optical; 1150.9; N;
SDSSJ102148.93;     survey; Equatorial; J2000; 10:21:48.9; +64:17:60.0; Heliocentric; Optical; 524.8;  N;
WISEAJ102256.0;     survey; Equatorial; J2000; 10:22:56.0; +19:44:26.8; Heliocentric; Optical; 299.8;  N;
WISEAJ102322.4;     survey; Equatorial; J2000; 10:23:22.4; +19:54:51.7; Heliocentric; Optical; 1338.0; N;
SDSSJ102331.28;     survey; Equatorial; J2000; 10:23:31.2; +04:07:50.0; Heliocentric; Optical; 299.8;  N;
KUG1020+571;        survey; Equatorial; J2000; 10:23:32.4; +56:55:53.9; Heliocentric; Optical; 1231.0; N;
NGC3220;            survey; Equatorial; J2000; 10:23:44.8; +57:01:36.2; Heliocentric; Optical; 1161.7; N;
WISEAJ102344.9;     survey; Equatorial; J2000; 10:23:45.0; +27:06:39.9; Heliocentric; Optical; 522.9;  N;
UGC05612;           survey; Equatorial; J2000; 10:24:06.2; +70:52:56.5; Heliocentric; Optical; 1010.9; N;
UGC05629;           survey; Equatorial; J2000; 10:24:13.0; +21:02:59.1; Heliocentric; Optical; 1238.1; N;
WISEAJ102414.0;     survey; Equatorial; J2000; 10:24:14.1; +24:25:54.5; Heliocentric; Optical; 1223.0; N;
